route_number,operator_ref,mean_headway_seconds,stddev_headway_seconds,headway_regularity_pct,meets_regularity_threshold
1A,WDBC,60.0,0.0,0.0,True
1B,TDTR,60.0,0.0,0.0,True
1B,WDBC,60.0,0.0,0.0,True
1C,WDBC,318.94736842105266,1760.3547574794268,551.9264091107113,False
2,BLUS,61.111111111111114,8.164965809277257,13.360853142453694,True
2,SVCT,69.81818181818181,72.81358514603015,104.29029122478278,False
2,SWWD,90.63829787234043,210.04558775696813,231.74043719665497,False
2,TDTR,80.72727272727273,153.71756864161918,190.41590710110484,False
20,BLUS,60.0,0.0,0.0,True
20,DAMY,470.7692307692308,2094.5203232758054,444.91444775466454,False
20,WDBC,60.0,0.0,0.0,True
200,SVCT,1077.5,4984.711626563768,462.6182484049901,False
201,SVCT,1326.0,5661.724119029467,426.9776862013173,False
202,SVCT,60.0,0.0,0.0,True
203,SVCT,60.0,0.0,0.0,True
204,SVCT,60.0,0.0,0.0,True
205,SVCT,491.3207547169811,3140.0624918670314,639.1064211557322,False
206,SVCT,60.0,0.0,0.0,True
207,SVCT,690.0,3883.5808218704547,562.8378002710804,False
208,SVCT,622.1052631578947,3455.06690817581,555.383005544335,False
209,SVCT,16560.0,,,False
21,TDTR,60.0,0.0,0.0,True
21,WDBC,1377.7358490566037,9593.261786176445,696.3063197306925,False
211,SVCT,60.0,0.0,0.0,True
212,SVCT,533.8775510204082,3317.1428571428573,621.3302752293578,False
213,SVCT,546.25,3368.838820721466,616.7210655783005,False
217,TDTR,268.0,805.5805360111427,300.5897522429637,False
22,TDTR,65.0,24.23291238281506,37.28140366586932,False
22,WDBC,301.1111111111111,1771.797580613165,588.4198607202394,False
23,BLUS,285.0,779.4228634059948,273.4817064582438,False
23,TDTR,60.0,0.0,0.0,True
24,BLUS,69.05660377358491,65.93307069537073,95.4768510069576,False
24,WDBC,60.0,0.0,0.0,True
25,SWWD,182.6086956521739,422.90357155034707,231.59005108709482,False
25,WDBC,60.0,0.0,0.0,True
26,SWWD,60.0,0.0,0.0,True
26,WDBC,60.0,0.0,0.0,True
29,SWWD,155.0943396226415,692.2972423013925,446.37170124055723,False
2A,SWWD,60.0,0.0,0.0,True
3,BLUS,383.3333333333333,2367.7001021212354,617.6608962055398,False
3,SVCT,116.72727272727273,420.70071417706305,360.41338441960227,False
3,WDBC,60.0,0.0,0.0,True
30,WDBC,172.22222222222223,678.2265071261617,393.80893962164225,False
31,WDBC,1315.5555555555557,9226.411364483307,701.3319449353864,False
32,WDBC,60.0,0.0,0.0,True
33,WDBC,60.0,0.0,0.0,True
35,WDBC,60.0,0.0,0.0,True
