operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
SQ,TW1,2026-07-20T13:53:03.793+05:45,2026-07-20T19:37:46.000+05:45,9501,50.698017,-1.294379,,15199,49966,,,,,,,,,,12,96.33333333333333,
BLUS,9,2026-07-20T14:37:32.762+05:45,2026-07-20T20:22:14.000+05:45,1634,50.820601,-1.369973,205,15212,52634,BODS_PH1121126_198_20260412_111.xml,PH1121126:198,BLUS:PH1121126:198:9,VJ167,2026-07-21T20:15:00.000+05:45,Saturday,60,52200,434,6,118.5,2.940955284552847
WDBC,m2,2026-07-20T13:54:26.649+05:45,2026-07-20T19:38:56.000+05:45,1783,50.723876,-1.906895,102,15215,50036,,,,,,,,,,15,108.66666666666667,3.1657190635451506
WDBC,18,2026-07-20T13:58:01.936+05:45,2026-07-20T19:42:37.000+05:45,2264,50.727767,-1.92356,98,15221,50257,,,,,,,,,,13,142.6153846153846,3.1657190635451506
WDBC,20,2026-07-20T14:05:13.655+05:45,2026-07-20T19:49:58.000+05:45,1410,50.733995,-1.766887,,15224,50698,,,,,,,,,,16,140.875,3.1657190635451506
WDBC,m2,2026-07-20T14:18:30.473+05:45,2026-07-20T20:03:27.000+05:45,1766,50.71847,-1.874545,298,15226,51507,,,,,,,,,,15,108.66666666666667,3.1657190635451506
WDBC,U3,2026-07-20T14:07:59.661+05:45,2026-07-20T19:52:32.000+05:45,1690,50.743112,-1.898157,,15235,50852,,,,,,,,,,12,144.83333333333334,3.1657190635451506
WDBC,17,2026-07-20T13:57:12.297+05:45,2026-07-20T19:41:53.000+05:45,1739,50.739091,-1.925042,92,15236,50213,,,,,,,,,,14,137.14285714285714,3.1657190635451506
WDBC,X3,2026-07-20T14:30:56.689+05:45,2026-07-20T20:15:49.000+05:45,1787,50.7234,-1.849239,73,15264,52249,,,,,,,,,,18,120.11111111111111,3.1657190635451506
SWWD,625,2026-07-20T14:34:47.568+05:45,2026-07-20T20:19:37.000+05:45,2728,51.034934,-2.273157,,15269,52477,,,,,,,,,,12,122.75,3.5063780260707635
WDBC,X3,2026-07-20T14:30:56.689+05:45,2026-07-20T20:15:48.000+05:45,1791,50.991605,-1.757857,356,15275,52248,,,,,,,,,,18,120.11111111111111,3.1657190635451506
WDBC,4,2026-07-20T14:26:15.428+05:45,2026-07-20T20:10:51.000+05:45,1541,50.745081,-1.716614,79,15290,51951,,,,,,,,,,12,159.08333333333334,3.1657190635451506
WDBC,m1,2026-07-20T13:51:24.315+05:45,2026-07-20T19:36:07.000+05:45,1726,50.718017,-1.978931,,15294,49867,,,,,,,,,,13,138.6153846153846,3.1657190635451506
WDBC,13,2026-07-20T14:17:07.690+05:45,2026-07-20T20:02:00.000+05:45,1697,50.803625,-1.948066,209,15298,51420,,,,,,,,,,9,148.33333333333334,3.1657190635451506
WDBC,70,2026-07-20T14:01:54.707+05:45,2026-07-20T19:46:29.000+05:45,1407,50.73592,-1.761556,266,15299,50489,,,,,,,,,,6,173.33333333333334,3.1657190635451506
WDBC,5,2026-07-20T14:27:54.899+05:45,2026-07-20T20:12:38.000+05:45,1694,50.723968,-1.864349,207,15304,52058,,,,,,,,,,9,145.22222222222223,3.1657190635451506
SQ,TM1,2026-07-20T14:05:29.987+05:45,2026-07-20T19:50:00.000+05:45,9101,50.717847,-1.978012,,15311,50700,,,,,,,,,,13,116.3076923076923,
SWWD,2A,2026-07-20T14:34:14.663+05:45,2026-07-20T20:18:58.000+05:45,1576,51.349655,-1.988142,,15316,52438,,,,,,,,,,7,138.71428571428572,3.5063780260707635
SVCT,5,2026-07-20T14:36:09.915+05:45,2026-07-20T20:21:03.000+05:45,1343,50.758173,-1.287836,123,15318,52563,,,,,,,,,,17,119.41176470588235,3.074930362116992
SVCT,200,2026-07-20T14:18:30.473+05:45,2026-07-20T20:03:09.000+05:45,7844,50.696774,-1.313554,63,15339,51489,,,,,,,,,,11,127.63636363636364,3.074930362116992
SWWD,650,2026-07-20T14:34:31.127+05:45,2026-07-20T20:19:00.000+05:45,1324,51.056684,-1.794826,28,15349,52440,,,,,,,,,,13,94.92307692307692,3.5063780260707635
WDBC,m2,2026-07-20T14:19:53.443+05:45,2026-07-20T20:04:41.000+05:45,1765,50.728833,-1.938933,95,15356,51581,,,,,,,,,,15,108.66666666666667,3.1657190635451506
SVCT,5,2026-07-20T13:56:22.403+05:45,2026-07-20T19:41:02.000+05:45,1343,50.702667,-1.288323,197,15357,50162,,,,,,,,,,17,119.41176470588235,3.074930362116992
WDBC,82,2026-07-20T14:13:48.607+05:45,2026-07-20T19:35:56.000+05:45,1645,50.760876,-1.537172,,15358,49856,,,,,,,,,,10,115.6,3.1657190635451506
WDBC,9,2026-07-20T14:09:39.353+05:45,2026-07-20T19:32:16.000+05:45,2258,50.718042,-1.978576,,15370,49636,,,,,,,,,,7,87.28571428571429,3.1657190635451506
WDBC,3,2026-07-20T13:58:18.490+05:45,2026-07-20T19:43:07.000+05:45,1150,50.762091,-2.014854,180,15393,50287,,,,,,,,,,10,115.1,3.1657190635451506
SWWD,650,2026-07-20T14:35:36.893+05:45,2026-07-20T20:20:05.000+05:45,1324,51.059097,-1.800002,283,15404,52505,,,,,,,,,,13,94.92307692307692,3.5063780260707635
TDTR,17,2026-07-20T14:20:26.643+05:45,2026-07-20T20:05:11.000+05:45,515,51.591715,-1.783057,307,15413,51611,,,,,,,,,,5,126.0,3.189354473386184
SWWD,X4,2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:30.000+05:45,1000,51.16536,-1.764339,,15414,49950,,,,,,,,,,16,139.125,3.5063780260707635
SVCT,1,2026-07-20T13:52:13.955+05:45,2026-07-20T19:36:57.000+05:45,1317,50.698631,-1.294589,,15415,49917,,,,,,,,,,13,104.84615384615384,3.074930362116992
BLUS,4,2026-07-20T14:26:15.428+05:45,2026-07-20T20:11:11.000+05:45,2755,50.960109,-1.452232,167,15418,51971,BODS_PH1121126_201_20260830_120.xml,PH1121126:201,BLUS:PH1121126:201:4,VJ119,2026-07-21T20:15:00.000+05:45,Saturday,48,52200,229,11,140.45454545454547,2.940955284552847
BLUS,2,2026-07-20T13:51:07.853+05:45,2026-07-20T19:35:55.000+05:45,1760,50.964828,-1.351373,18,15419,49855,BODS_PH1121126_203_20260830_125.xml,PH1121126:203,BLUS:PH1121126:203:2,VJ280,2026-07-21T19:40:00.000+05:45,Saturday,61,50100,245,7,93.0,2.940955284552847
WDBC,50,2026-07-20T14:06:19.989+05:45,2026-07-20T17:47:04.000+05:45,1409,50.6099,-1.962524,,15442,43324,,,,,,,,,,16,98.9375,3.1657190635451506
WDBC,6,2026-07-20T14:37:32.762+05:45,2026-07-20T16:03:07.000+05:45,245,50.781369,-1.955091,,15443,37087,,,,,,,,,,9,124.11111111111111,3.1657190635451506
WDBC,m1,2026-07-20T13:58:51.599+05:45,2026-07-20T19:43:34.000+05:45,1722,50.716736,-1.87709,113,15479,50314,,,,,,,,,,13,138.6153846153846,3.1657190635451506
