pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T13:54:26.649+05:45,2026-07-20T13:02:02.000+05:45,1589,A,WDBC,50.747101,-1.722436,
2026-07-20T14:32:02.837+05:45,2026-07-20T20:16:31.000+05:45,1607,8,BLUS,50.886953,-1.454911,297
2026-07-20T14:22:55.935+05:45,2026-07-20T20:07:22.000+05:45,1704,50,WDBC,50.72676,-1.864716,
2026-07-20T13:46:26.014+05:45,2026-07-20T19:31:14.000+05:45,1689,12,WDBC,50.759453,-1.858934,220
2026-07-20T14:33:25.124+05:45,2026-07-20T20:18:05.000+05:45,2257,26,WDBC,50.749057,-1.965155,225
2026-07-20T13:56:22.403+05:45,2026-07-20T19:40:48.000+05:45,1759,1,BLUS,50.905984,-1.406436,173
2026-07-20T13:55:16.179+05:45,2026-07-20T19:40:10.000+05:45,1698,U1,WDBC,50.742793,-1.898453,
2026-07-20T14:09:22.773+05:45,2026-07-20T19:53:58.000+05:45,6935,19a,BLUS,50.903754,-1.402607,
2026-07-20T14:04:40.663+05:45,2026-07-20T19:49:24.000+05:45,1232,U1C,UNIL,50.942112,-1.374421,
2026-07-20T13:47:15.639+05:45,2026-07-20T19:31:48.000+05:45,2272,1A,WDBC,50.728415,-1.832535,69
2026-07-20T14:19:36.738+05:45,2026-07-20T20:04:10.000+05:45,1569,17,BLUS,50.940392,-1.452621,
2026-07-20T14:11:02.586+05:45,2026-07-20T14:29:56.000+05:45,1507,CR9,DAMY,50.850086,-2.160565,
2026-07-20T14:22:39.327+05:45,2026-07-20T20:07:27.000+05:45,283,539,BLUS,50.888175,-1.456386,352
2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:12.000+05:45,3823,6,DAMY,50.71499,-2.440904,
2026-07-20T13:55:32.745+05:45,2026-07-20T19:40:08.000+05:45,1616,2,SVCT,50.637423,-1.18035,185
2026-07-20T14:32:52.075+05:45,2026-07-20T20:17:40.000+05:45,1696,5,WDBC,50.747539,-1.877742,8
2026-07-20T13:57:28.698+05:45,2026-07-20T19:42:22.000+05:45,1767,m2,WDBC,50.730531,-1.825847,58
2026-07-20T14:04:07.496+05:45,2026-07-20T19:49:01.000+05:45,1548,17,BLUS,50.887756,-1.371878,87
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:23.000+05:45,1508,31,WDBC,50.684913,-2.217838,
2026-07-20T14:35:36.893+05:45,2026-07-20T20:20:20.000+05:45,2736,13,TDTR,51.562679,-1.782701,
2026-07-20T14:16:01.086+05:45,2026-07-20T20:00:41.000+05:45,1220,U1C,UNIL,50.900831,-1.404718,179
2026-07-20T14:31:46.259+05:45,2026-07-20T13:30:37.000+05:45,1629,13,WDBC,50.718304,-1.874276,
2026-07-20T14:27:38.341+05:45,2026-07-20T20:12:25.000+05:45,2274,18,WDBC,50.759445,-1.998851,24
2026-07-20T14:22:39.327+05:45,2026-07-20T20:07:20.000+05:45,1815,82,WDBC,50.744496,-1.740248,
2026-07-20T14:26:32.043+05:45,2026-07-20T20:11:16.000+05:45,1564,18,BLUS,50.907556,-1.398685,43
2026-07-20T13:50:51.121+05:45,2026-07-20T19:35:24.000+05:45,1697,13,WDBC,50.771186,-1.886943,321
2026-07-20T13:46:26.014+05:45,2026-07-20T19:30:57.000+05:45,7924,PVDRT,SWWD,51.338184,-1.847086,353
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:35.000+05:45,7926,901,SWWD,51.404694,-1.513723,
2026-07-20T14:12:08.896+05:45,2026-07-20T19:57:00.000+05:45,1774,m1,WDBC,50.718599,-1.871776,26
2026-07-20T14:22:06.195+05:45,2026-07-20T20:06:48.000+05:45,242,1A,WDBC,50.735748,-1.766,259
2026-07-20T14:11:19.294+05:45,2026-07-20T12:05:52.000+05:45,1574,X4,SWWD,51.194919,-1.819004,
2026-07-20T14:12:08.896+05:45,2026-07-20T19:56:43.000+05:45,261,16,BLUS,50.914655,-1.362565,
2026-07-20T14:19:03.545+05:45,2026-07-20T20:03:32.000+05:45,1246,18,BLUS,50.912648,-1.354499,127
2026-07-20T14:10:12.575+05:45,2026-07-20T19:54:57.000+05:45,1547,119,WDBC,50.75739,-1.639706,
